348,348,352,353,1185,507,508,509,1239,1219,520,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521
348,348,349,366,1186,520,521,522,507,507,473,533,521,521,521,521,521,521,521,521,521,521,521,1205,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521
348,349,366,1214,1221,533,534,535,533,533,535,1218,1208,1196,533,534,534,534,534,534,534,534,534,534,526,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,442,443,444,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521
365,366,1195,1237,1184,1219,1243,1215,1204,1205,1195,1193,1188,1216,1200,1239,1252,1238,1202,1189,1185,1202,1201,1221,1215,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,526,521,521,521,455,456,457,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521
1214,1221,1248,338,339,340,1204,1216,1243,1248,1195,1212,1216,1255,1243,1206,1192,507,509,1194,1190,1211,1207,1220,1201,1210,1217,1212,1194,1185,1191,1209,1214,1208,1237,1214,1184,1248,1200,1216,1221,1210,1248,1193,1211,1196,1196,1243,1248,1184,1245,1209,1197,1207,1220,1209,520,521,521,521,468,469,470,521,521,521,521,521,521,521,521,521,521,521,521,521,521,442,443,444,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521
1201,1218,1252,364,365,366,1219,1252,1208,1195,1191,1193,1214,1208,1211,1203,1195,533,535,1190,1201,1218,1197,1218,1187,1252,1193,1217,1216,1216,1198,1255,1200,1220,1237,1199,1199,1213,1238,1252,1252,1190,1190,1215,1194,1196,1252,1198,1199,1216,1245,1209,1200,1211,1184,1192,520,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,455,456,457,521,521,521,521,521,521,521,521,521,521,521,521,521,442,443,444,521,521,521,521
1209,1190,1209,1198,1184,1185,380,1212,1214,1217,1197,1192,507,509,1216,1204,1184,1187,1209,1214,507,509,1193,1203,1197,1245,1190,1204,1189,1189,1192,1200,1243,1209,1260,1204,1238,1213,1211,1238,1239,1193,1197,1191,1184,1197,1186,1221,1192,1206,1209,1239,1217,1217,1193,1192,520,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,468,469,470,521,521,521,521,521,521,521,521,521,521,521,521,521,455,456,457,521,521,521,521
1209,1195,1220,1201,1199,1218,1245,1195,1196,1245,1206,1185,533,535,1219,1184,1237,1213,1194,1219,533,535,1215,1216,1205,1191,1215,1193,1260,1243,1245,1195,1215,1192,1185,1208,1192,1184,1195,1188,1207,1209,1209,1219,1207,1189,1237,1190,1219,1207,1255,1204,1248,1208,1189,1183,520,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,468,469,470,521,521,521,521
1252,1207,1237,1245,1206,1196,1205,380,1191,1207,1211,1207,1219,1193,1255,1197,1252,1185,1183,507,509,1185,1183,1260,1185,1185,1245,1205,1191,1187,1252,1200,1218,1185,1243,1237,1198,1220,1243,1208,1196,1198,1184,1237,1243,1217,1221,1191,1239,1185,1207,1215,1189,1205,1198,1217,533,526,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521
1207,507,508,509,1185,1185,1221,1191,380,1195,1194,1221,1248,1191,1206,1187,1238,1183,1205,533,535,1188,1186,1201,1214,1183,1194,1203,1219,1260,1260,1220,1201,1214,1237,1187,1196,1193,1252,1188,1260,1209,1218,1209,1245,1239,1188,1204,1189,1215,1210,1212,1260,1218,1188,1189,1207,520,521,521,521,521,521,442,443,444,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521
